Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00   15.93       1/1           run_falcon512_sign [1]
-----------------------------------------------
                0.00   15.47    1000/1000        run_falcon512_sign [1]
[3]     97.1    0.00   15.47    1000         PQCLEAN_FALCON512_CLEAN_crypto_sign_signature [3]
                0.00   15.47    1000/1000        do_sign [4]
-----------------------------------------------
                0.00   15.47    1000/1000        PQCLEAN_FALCON512_CLEAN_crypto_sign_signature [3]
[4]     97.1    0.00   15.47    1000         do_sign [4]
                0.00   15.21    1000/1000        PQCLEAN_FALCON512_CLEAN_sign_dyn [5]
                0.00    0.24    1000/1000        PQCLEAN_FALCON512_CLEAN_complete_private [35]
                0.02    0.00    1000/1000        PQCLEAN_FALCON512_CLEAN_hash_to_point_ct [55]
                0.00    0.00    3000/3000        PQCLEAN_FALCON512_CLEAN_trim_i8_decode [116]
                0.00    0.00    3000/3001        shake256_inc_absorb [115]
                0.00    0.00    2000/2002        PQCLEAN_randombytes [119]
                0.00    0.00    2000/2001        shake256_inc_init [125]
                0.00    0.00    2000/2001        shake256_inc_finalize [124]
                0.00    0.00    2000/2001        shake256_inc_ctx_release [123]
                0.00    0.00    1000/1000        PQCLEAN_FALCON512_CLEAN_comp_encode [129]
-----------------------------------------------
                0.00   15.21    1000/1000        do_sign [4]
[5]     95.5    0.00   15.21    1000         PQCLEAN_FALCON512_CLEAN_sign_dyn [5]
                0.00   15.20    1000/1000        do_sign_dyn [6]
                0.00    0.00    1000/1000        PQCLEAN_FALCON512_CLEAN_prng_init [63]
-----------------------------------------------
                0.00   15.20    1000/1000        PQCLEAN_FALCON512_CLEAN_sign_dyn [5]
[6]     95.4    0.00   15.20    1000         do_sign_dyn [6]
                0.02    9.18    1000/1000        ffSampling_fft_dyntree [8]
                0.07    4.49    9000/9597        PQCLEAN_FALCON512_CLEAN_FFT [10]
                0.01    0.95    2000/2293        PQCLEAN_FALCON512_CLEAN_iFFT [16]
                0.00    0.16    8000/8000        smallints_to_fpr [39]
                0.00    0.13    4000/4000        PQCLEAN_FALCON512_CLEAN_poly_mulselfadj_fft [42]
                0.00    0.13    2000/2000        PQCLEAN_FALCON512_CLEAN_poly_muladj_fft [43]
                0.00    0.03    2000/2002        PQCLEAN_FALCON512_CLEAN_poly_mulconst [53]
                0.00    0.02  512000/11990309     fpr_of [22]
                0.00    0.01    6000/517576      PQCLEAN_FALCON512_CLEAN_poly_mul_fft [18]
                0.00    0.01 1024000/1024000     fpr_rint [61]
                0.00    0.01    4000/4000        PQCLEAN_FALCON512_CLEAN_poly_neg [62]
                0.00    0.00    5000/516287      PQCLEAN_FALCON512_CLEAN_poly_add [20]
                0.00    0.00    1000/1000        fpr_neg [131]
                0.00    0.00    1000/1000        PQCLEAN_FALCON512_CLEAN_is_short_half [130]
-----------------------------------------------
                0.00    0.00     512/148617408     PQCLEAN_FALCON512_CLEAN_poly_add_muladj_fft [84]
                0.00    0.00    1024/148617408     PQCLEAN_FALCON512_CLEAN_keygen [24]
                0.00    0.00    1533/148617408     PQCLEAN_FALCON512_CLEAN_poly_invnorm2_fft [80]
                0.00    0.00   46128/148617408     poly_big_to_fp [60]
                0.03    0.01  512000/148617408     PQCLEAN_FALCON512_CLEAN_poly_muladj_fft [43]
                0.06    0.01 1024000/148617408     PQCLEAN_FALCON512_CLEAN_poly_mulselfadj_fft [42]
                0.21    0.05 3843230/148617408     PQCLEAN_FALCON512_CLEAN_poly_mul_fft [18]
                0.33    0.08 6144000/148617408     PQCLEAN_FALCON512_CLEAN_poly_merge_fft [17]
