Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    6.47    1000/1000        run_falcon1024_sign [1]
[3]     94.9    0.00    6.47    1000         PQCLEAN_FALCON1024_CLEAN_crypto_sign_signature [3]
                0.00    6.47    1000/1000        do_sign [4]
-----------------------------------------------
                0.00    6.47    1000/1000        PQCLEAN_FALCON1024_CLEAN_crypto_sign_signature [3]
[4]     94.9    0.00    6.47    1000         do_sign [4]
                0.00    6.29    1000/1000        PQCLEAN_FALCON1024_CLEAN_sign_dyn [5]
                0.00    0.15    1000/1000        PQCLEAN_FALCON1024_CLEAN_complete_private [27]
                0.02    0.01    1000/1000        PQCLEAN_FALCON1024_CLEAN_hash_to_point_ct [41]
                0.00    0.00    2000/1326303     keccak_inc_finalize [52]
                0.00    0.00    3000/3000        PQCLEAN_FALCON1024_CLEAN_trim_i8_decode [122]
                0.00    0.00    3000/3001        keccak_inc_absorb [120]
                0.00    0.00    3000/3001        shake256_inc_absorb [121]
                0.00    0.00    2000/2001        keccak_inc_init [126]
                0.00    0.00    2000/2001        shake256_inc_init [129]
                0.00    0.00    2000/2002        randombytes_linux_randombytes_getrandom [125]
                0.00    0.00    2000/2002        PQCLEAN_randombytes [124]
                0.00    0.00    2000/2001        shake256_inc_finalize [128]
                0.00    0.00    2000/2001        shake256_inc_ctx_release [127]
                0.00    0.00    1000/1000        PQCLEAN_FALCON1024_CLEAN_comp_encode [133]
-----------------------------------------------
                0.00    6.29    1000/1000        do_sign [4]
[5]     92.3    0.00    6.29    1000         PQCLEAN_FALCON1024_CLEAN_sign_dyn [5]
                0.00    6.29    1000/1000        do_sign_dyn.constprop.0 [6]
                0.00    0.00    1000/1000        PQCLEAN_FALCON1024_CLEAN_prng_init [72]
-----------------------------------------------
                0.00    6.29    1000/1000        PQCLEAN_FALCON1024_CLEAN_sign_dyn [5]
[6]     92.3    0.00    6.29    1000         do_sign_dyn.constprop.0 [6]
                0.02    3.96    1000/1000        ffSampling_fft_dyntree.constprop.0 [7]
                0.04    1.74    9000/10121       PQCLEAN_FALCON1024_CLEAN_FFT [9]
                0.00    0.35    2000/2554        PQCLEAN_FALCON1024_CLEAN_iFFT [14]
                0.00    0.05    4000/4000        PQCLEAN_FALCON1024_CLEAN_poly_mulselfadj_fft [35]
                0.00    0.05    2000/2000        PQCLEAN_FALCON1024_CLEAN_poly_muladj_fft [37]
                0.00    0.04    8000/8000        smallints_to_fpr [38]
                0.00    0.01    2000/2002        PQCLEAN_FALCON1024_CLEAN_poly_mulconst [48]
                0.00    0.00 1024000/23924726     PQCLEAN_FALCON1024_CLEAN_fpr_scaled [30]
                0.00    0.00    4000/4000        PQCLEAN_FALCON1024_CLEAN_poly_neg [60]
                0.00    0.00    6000/1030098     PQCLEAN_FALCON1024_CLEAN_poly_mul_fft [17]
                0.00    0.00    5000/1028548     PQCLEAN_FALCON1024_CLEAN_poly_add [25]
                0.00    0.00 1024000/653233071     FPR [16]
                0.00    0.00    1000/2046000     PQCLEAN_FALCON1024_CLEAN_poly_merge_fft [15]
                0.00    0.00 2048000/2048000     fpr_rint [102]
                0.00    0.00 1024000/23817382     fpr_of [89]
                0.00    0.00    1000/1000        fpr_neg.constprop.0 [135]
                0.00    0.00    1000/1000        PQCLEAN_FALCON1024_CLEAN_is_short_half [134]
-----------------------------------------------
                             2046000             ffSampling_fft_dyntree.constprop.0 [7]
                0.02    3.96    1000/1000        do_sign_dyn.constprop.0 [6]
[7]     58.5    0.02    3.96    1000+2046000 ffSampling_fft_dyntree.constprop.0 [7]
                0.05    1.11 1023000/1023000     PQCLEAN_FALCON1024_CLEAN_poly_LDL_fft [11]
                0.06    0.90 4092000/4092000     PQCLEAN_FALCON1024_CLEAN_poly_split_fft [12]
                0.02    0.57 2048000/2048000     PQCLEAN_FALCON1024_CLEAN_sampler [13]
                0.01    0.43 2045000/2046000     PQCLEAN_FALCON1024_CLEAN_poly_merge_fft [15]
                0.02    0.38 1023000/1030098     PQCLEAN_FALCON1024_CLEAN_poly_mul_fft [17]
                0.01    0.18 1023000/1028548     PQCLEAN_FALCON1024_CLEAN_poly_add [25]
                0.01    0.12 1023000/1023002     PQCLEAN_FALCON1024_CLEAN_poly_sub [28]
                0.07    0.00 1024000/1024000     PQCLEAN_FALCON1024_CLEAN_fpr_sqrt [34]
                0.01    0.00 2048000/23924726     PQCLEAN_FALCON1024_CLEAN_fpr_scaled [30]
                0.01    0.00 1024000/293265995     PQCLEAN_FALCON1024_CLEAN_fpr_mul [10]
                0.00    0.00 4096000/653233071     FPR [16]
